Delta i (deg),Rayleigh (log-U Pr),Rayleigh (TG Pr),Gaussian (log-U Pr),Gaussian (TG Pr),Tr. Gaussian (U Pr)
29.3,0.011379664011771758,0.011825089037233321,0.0005961068660175401,0.005236908760524933,0.008210931870043531
29.400000000000002,0.01119946485158983,0.011642587481892529,0.0005535568079716708,0.005040028675731743,0.008148964352786996
29.5,0.01102126430855422,0.01146202942974851,0.0005137671172151807,0.00484916951429837,0.008087464390842854
29.6,0.01084505885325105,0.011283412916312992,0.00047658071274228966,0.004664209921026858,0.008026428457262967
29.700000000000003,0.010670844502777277,0.011106735517238314,0.00044184778677731435,0.0044850282060162425,0.00796585305169439
29.8,0.010498616830799749,0.010931994357788317,0.00040942558967631076,0.004311502493577214,0.007905734700189739
29.900000000000002,0.010328370977593572,0.010759186122302826,0.0003791782121108103,0.004143510865701212,0.007846069955004314
30.0,0.010160101660055586,0.010588307063651565,0.0003509763654113437,0.003980931500052511,0.0077868553943630184
30.1,0.00999380318168882,0.010419353012673379,0.0003246971608909011,0.003823642802463779,0.007728087622353369
30.200000000000003,0.009829469442553947,0.010252319387596971,0.0003002238889117971,0.0036715235339273102,0.007669763268620678
30.3,0.009667093949183875,0.010087201203439176,0.0002774457984036564,0.0035244529320849344,0.007611878988253086
30.400000000000002,0.009506669824457487,0.009923993081376932,0.00025625787748576235,0.0033823108272303722,0.007554431461564938
30.5,0.009348189817429105,0.00976268925808953,0.00023656063579391662,0.0032449777528482686,0.007497417393899768
30.6,0.009191646313109796,0.009603283595067173,0.00021825988906027183,0.0031123350507233135,0.007440833515455324
30.700000000000003,0.009037031342197157,0.00944576958788265,0.00020126654644469363,0.0029832949929188965,0.007384676581085882
30.8,0.008884336590750086,0.00929014037542247,0.0001854964010679494,0.0028587310851083663,0.0073289433701231085
30.900000000000002,0.008733553409805184,0.0091363887490742,0.00017086992415065033,0.0027385770659379555,0.007273630686168251
31.0,0.00858467282493176,0.008984507161866849,0.0001573120631174196,0.002622715533482452,0.0072187353569622675
31.1,0.00843768554572193,0.008834487737560869,0.00014471459705344021,0.002511030395554559,0.00716425423416046
31.200000000000003,0.008292581975213192,0.008686322279685025,0.0001330130067771256,0.0024034069455851656,0.007110184193126603
31.3,0.008149352219240222,0.008540002280516844,0.00012219090072145708,0.0022997319333237383,0.007056522132854722
31.400000000000002,0.008007986095713227,0.008395518930003962,0.00011218805257052708,0.002199893630459631,0.007003264975664784
31.5,0.007868473143820028,0.008252863124623408,0.00010294786491100371,0.0021037818912706847,0.006950409667123464
31.6,0.007730802633149211,0.008112025476176161,9.441719062096971e-05,0.0020112882084108155,0.006897953175820763
31.700000000000003,0.007594963572731929,0.007972996320514417,8.654615989979082e-05,0.0019223057639531432,0.006845892493215472
31.8,0.0074609447199996595,0.007835765726198794,7.928801301723177e-05,0.0018367294758092892,0.00679422463345327
31.900000000000002,0.007328734589655743,0.007700323503083237,7.261592512246119e-05,0.0017544560396496036,0.00674294663319577
32.0,0.007198321462458395,0.00756665921082518,6.649433169026491e-05,0.0016753839664523382,0.006692055551459961
32.1,0.007069693393912939,0.007434762167318575,6.085598572921314e-05,0.0015994136158126962,0.006641548469437384
32.2,0.00694283822287125,0.007304621457047721,5.566572921360037e-05,0.0015264472251453201,0.006591422490339106
32.300000000000004,0.006817743580036341,0.007176225939359657,5.093387075902196e-05,0.0014563889349158597,0.006541674739220579
32.4,0.006694396896370325,0.007049564256653238,4.65863995771063e-05,0.00138914481003896,0.006492302362819978
32.5,0.00657278541140373,0.006924624842482685,4.2587568614591275e-05,0.0013246228575813316,0.0064433025293976365
32.6,0.006452896181444685,0.006801395929574084,3.8911484292992164e-05,0.0012627330409095841,0.006394672428550412
32.7,0.006334716087686117,0.006679865557752731,3.5533993596715145e-05,0.0012033872904229836,0.006346409271117804
32.800000000000004,0.0062182318442095905,0.006560021581779835,3.243258256290276e-05,0.0011464995110116482,0.0062985102889229925
32.9,0.006103430005884241,0.00644185167909688,2.9586279423122133e-05,0.0010919855863805957,0.006250972734695773
33.0,0.0059902969761593625,0.006325343357476024,2.697556228641344e-05,0.0010397633803795488,0.006203793881883017
33.1,0.005878819014749591,0.006210483962575331,2.4582271246791087e-05,0.0009897527354779778,0.006156971024492556
33.2,0.005768982245211218,0.006097260685397164,2.2389524792876566e-05,0.0009418754685235632,0.006110501476941003
33.300000000000004,0.005660772662408635,0.005985660569648591,2.0381640392916742e-05,0.0008960553639212672,0.006064382573897103
33.4,0.005554176139869904,0.005875670519002616,1.8544059124913587e-05,0.0008522181643686236,0.006018611670140064
33.5,0.005449178437030373,0.0057672773042589335,1.686327421889687e-05,0.0008102915592811271,0.005973186140383224
33.6,0.005345765206363608,0.005660467570403345,1.532676337646375e-05,0.0007702051710397112,0.005928103379161969
33.7,0.0052439220003987165,0.005555227843564659,1.392292473150876e-05,0.0007318435299634688,0.00588336080065151
33.800000000000004,0.0051436342786233494,0.0054515445378682335,1.2641016315531001e-05,0.0006949340330171746,0.005838955838519123
33.9,0.005044887414271806,0.00534940396218532,1.1471098890965613e-05,0.000659692485699826,0.005794885945811747
34.0,0.0049476667009976,0.005248792326777398,1.0411910083913902e-05,0.0006260544499579843,0.005751148594764673
34.1,0.0048519573594299915,0.005149695749834831,9.450484879540642e-06,0.0005939573896261812,0.005707741276686043
34.2,0.0047577445436140795,0.005052100263909148,8.573423009239792e-06,0.000563340644930321,0.005664661501807651
34.300000000000004,0.004665013347334041,0.004955991822238441,7.773755743231177e-06,0.0005341454056142121,0.0056219067991344915
34.4,0.0045737488103193315,0.004861356304965361,7.045048822084165e-06,0.0005063146828058751,0.0055794747163135155
34.5,0.0044839359243334185,0.004768179525247182,6.381365227001954e-06,0.00047979327973675086,0.005537362819485347
34.6,0.004395559639145197,0.0046764472352577935,5.777230212373393e-06,0.00045452776142349894,0.005495568693149914
34.7,0.004308604868382656,0.004586145132081006,5.2275984913598216e-06,0.00043046642341827365,0.0054540899400105656
34.800000000000004,0.0042230564952690074,0.004497258863495166,4.727823468169654e-06,0.00040755925972987264,0.005412924180879111
34.9,0.004138899378241225,0.0044097740336487955,4.27362841369493e-06,0.00038575793001431797,0.005372069054494475
35.0,0.0040561183564510345,0.0043236762086271,3.861079484329632e-06,0.00036501572612972547,0.005331522217395317
35.1,0.003974698255148659,0.004238950921909391,3.4865604870259414e-06,0.00034528753814656984,0.005291281343824599
35.2,0.0038946238909493194,0.0041555836797172695,3.1467492969515157e-06,0.00032652981990063896,0.0052513441255378985
35.300000000000004,0.003815880076982939,0.0040735599662537255,2.8385958374671864e-06,0.00030870055417224273,0.005211708271717252
35.4,0.003738451627927287,0.00399286524883322,2.559301535529507e-06,0.00029175921757146784,0.005172371508815729
35.5,0.0036623233649249153,0.003913484982902856,2.3063001690194567e-06,0.0002756667452055222,0.005133331580439083
35.6,0.003587480120384402,0.0038354046169549634,2.077240025891469e-06,0.0002603854952005417,0.00509458624720931
35.7,0.003513906742666279,0.0037586095973312023,1.8699672984098962e-06,0.00024587921314651125,0.00505613328663642
35.800000000000004,0.0034415881006542443,0.003683085372918629,1.6825106390823673e-06,0.00023217588692313318,0.0050179704929979975
35.9,0.0033705090882121913,0.003608817399737984,1.513066808197084e-06,0.00021920038399734278,0.004980095677203566
36.0,0.003300654628527648,0.0035357911454246198,1.3599873461160263e-06,0.0002068901633907609,0.004942506666685046
36.1,0.0032320096783424483,0.003463992093602636,1.2217662066581454e-06,0.00019521478774730267,0.004905201305231671
